id_achat,id_client,date_achat,montant,produit
1,1,2025-05-05,1561.46,Camera
2,1,2025-09-03,737.06,Laptop
3,1,2025-06-09,1218.09,Monitor
4,1,2025-01-21,1898.67,Camera
5,1,2025-05-15,899.0,Smartphone
6,1,2025-03-14,1156.37,Camera
7,1,2025-11-27,808.11,Smartwatch
8,1,2025-08-19,514.23,Smartphone
9,1,2025-10-26,71.31,Tablet
10,1,2025-07-31,1008.11,Printer
11,2,2025-09-14,1828.81,Smartphone
12,2,2025-04-01,538.32,Smartwatch
13,2,2025-11-14,1413.99,Headphones
14,2,2025-12-22,1992.8,Smartwatch
15,2,2025-12-10,1394.08,Monitor
16,2,2025-10-06,416.35,Tablet
17,2,2025-08-17,1708.6,Monitor
18,2,2025-03-28,361.86,Monitor
19,2,2025-03-13,1994.58,Camera
20,2,2025-05-10,1342.32,Smartphone
21,3,2025-02-23,613.91,Tablet
22,3,2025-08-01,1429.38,Tablet
23,3,2025-12-29,1591.52,Headphones
24,3,2025-02-01,260.3,Headphones
25,3,2025-03-05,1588.29,Headphones
26,3,2025-05-25,1584.94,Laptop
27,3,2025-02-12,734.58,Camera
28,3,2025-12-02,945.46,Tablet
29,4,2025-12-23,1231.66,Smartphone
30,4,2025-09-15,150.18,Printer
31,4,2025-04-01,1999.2,Monitor
32,4,2025-03-18,1060.88,Printer
33,4,2026-01-15,1650.21,Smartphone
34,4,2025-04-13,268.15,Camera
35,4,2025-12-20,1291.83,Monitor
36,4,2025-10-27,942.35,Camera
37,4,2025-01-27,274.1,Tablet
38,5,2025-12-05,1015.67,Laptop
39,5,2025-12-29,1666.15,Tablet
40,5,2025-03-04,622.17,Tablet
41,5,2025-12-30,658.87,Headphones
42,5,2025-01-27,705.13,Smartwatch
43,5,2025-12-01,1694.95,Smartwatch
44,5,2025-11-26,408.68,Smartwatch
45,5,2025-04-04,267.84,Smartwatch
46,5,2025-02-05,1236.57,Smartphone
47,5,2025-06-27,1015.09,Tablet
48,6,2025-03-31,1191.78,Tablet
49,6,2025-10-27,358.98,Camera
50,6,2025-08-22,1688.21,Laptop
51,6,2025-03-04,1653.97,Laptop
52,6,2026-01-07,180.82,Smartwatch
53,6,2025-07-22,1309.24,Printer
54,6,2025-08-17,1243.85,Laptop
55,6,2025-07-26,1006.12,Smartwatch
56,7,2025-03-18,504.86,Printer
57,7,2025-04-04,608.92,Smartphone
58,7,2025-12-28,1383.45,Tablet
59,7,2025-10-16,890.42,Monitor
60,7,2025-05-29,939.6,Camera
61,7,2026-01-17,1221.19,Camera
62,7,2025-06-18,1725.74,Camera
63,7,2025-04-04,1473.72,Camera
64,8,2025-02-20,1951.24,Tablet
65,8,2025-07-22,1526.12,Smartphone
66,8,2025-07-11,651.85,Monitor
67,8,2025-07-23,262.59,Monitor
68,8,2025-12-29,510.88,Smartphone
69,8,2025-01-23,120.2,Printer
70,8,2025-06-06,1731.04,Printer
71,8,2025-06-20,511.58,Tablet
72,9,2026-01-04,1447.83,Headphones
73,9,2025-02-23,1530.98,Monitor
74,9,2025-05-29,1992.02,Monitor
75,9,2025-05-11,1007.54,Smartwatch
76,9,2025-02-10,1004.79,Smartphone
77,9,2025-12-30,1891.56,Monitor
78,9,2025-09-13,1934.04,Headphones
79,9,2025-04-11,1175.02,Laptop
80,9,2025-10-01,120.07,Monitor
81,9,2025-09-13,1203.09,Monitor
82,9,2025-11-10,585.78,Laptop
83,10,2025-12-04,1697.4,Printer
84,10,2025-01-23,285.19,Smartwatch
85,10,2026-01-05,1460.47,Printer
86,10,2025-10-12,744.56,Printer
87,10,2025-12-12,121.29,Headphones
88,11,2025-02-03,784.97,Monitor
89,11,2025-11-24,1533.52,Smartwatch
90,11,2025-03-23,1654.12,Smartphone
91,11,2025-01-21,274.75,Smartphone
92,11,2025-07-26,799.93,Camera
93,11,2025-03-10,1124.51,Camera
94,11,2025-07-08,1514.83,Headphones
95,11,2025-02-01,1212.88,Printer
96,12,2025-08-24,1010.15,Laptop
97,12,2025-04-04,97.05,Camera
98,12,2025-10-15,1611.85,Monitor
99,12,2025-05-05,314.9,Tablet
100,12,2025-09-01,669.37,Camera
101,12,2025-11-15,341.75,Smartwatch
102,12,2025-06-20,1195.57,Monitor
103,12,2025-03-22,1423.3,Smartwatch
104,12,2025-07-26,960.29,Laptop
105,12,2025-03-14,749.35,Smartphone
106,12,2025-11-10,1960.2,Smartwatch
107,13,2025-09-19,1382.33,Laptop
108,13,2025-05-31,1201.88,Smartwatch
109,13,2025-12-22,1934.8,Headphones
110,13,2025-11-01,1448.37,Monitor
111,13,2025-01-28,357.61,Printer
112,13,2025-04-02,312.6,Headphones
113,13,2025-06-14,82.51,Smartphone
114,13,2025-06-03,397.75,Monitor
115,13,2025-11-21,641.11,Tablet
116,13,2025-09-02,837.66,Headphones
117,14,2025-01-28,832.55,Monitor
118,14,2025-01-27,1748.18,Laptop
119,14,2025-01-28,1417.43,Headphones
120,14,2025-07-09,1130.56,Monitor
121,14,2025-10-13,1060.44,Camera
122,14,2025-03-11,1914.24,Monitor
123,15,2025-06-16,721.49,Smartwatch
124,15,2025-08-03,1227.95,Headphones
125,15,2025-10-24,1915.53,Smartwatch
126,15,2025-10-09,1125.01,Headphones
127,15,2025-03-21,1884.14,Smartwatch
128,15,2025-02-23,1546.93,Headphones
129,15,2025-05-25,1386.68,Monitor
130,15,2025-04-09,647.74,Camera
131,15,2025-06-20,1129.77,Smartwatch
132,15,2025-02-11,589.82,Printer
133,15,2026-01-07,1793.61,Printer
134,16,2025-07-06,1640.39,Tablet
135,16,2025-06-18,595.1,Smartwatch
136,16,2025-12-12,1911.52,Smartphone
137,16,2025-06-28,705.8,Monitor
138,16,2025-11-27,1318.82,Monitor
139,16,2025-11-10,443.69,Smartwatch
140,16,2025-01-18,1867.39,Smartwatch
141,16,2025-07-11,291.8,Headphones
142,16,2025-12-13,500.07,Headphones
143,17,2025-04-22,838.34,Monitor
144,17,2025-05-16,219.08,Tablet
145,17,2025-08-03,30.26,Tablet
146,17,2026-01-03,825.68,Monitor
147,17,2025-09-19,965.35,Headphones
148,17,2025-02-22,1516.7,Smartwatch
149,17,2025-07-17,655.91,Laptop
150,17,2025-11-18,1817.72,Smartphone
151,17,2025-08-15,1311.55,Headphones
152,18,2025-03-05,1079.6,Laptop
153,18,2025-07-25,1828.19,Tablet
154,18,2025-11-08,847.41,Tablet
155,18,2025-03-11,1869.17,Laptop
156,18,2025-09-16,1994.4,Printer
157,18,2025-10-17,1580.16,Tablet
158,18,2025-10-07,1874.49,Smartwatch
159,18,2025-05-01,1755.95,Laptop
160,18,2025-08-31,610.82,Smartphone
161,19,2025-04-19,919.61,Monitor
162,19,2025-04-19,1780.73,Tablet
163,19,2025-10-12,1705.1,Monitor
164,19,2025-05-08,560.22,Smartphone
165,19,2025-10-05,674.75,Monitor
166,19,2025-07-06,1303.6,Tablet
167,19,2025-08-22,47.89,Camera
168,19,2025-07-26,1585.72,Headphones
169,19,2026-01-14,367.48,Printer
170,19,2025-04-25,1657.44,Camera
171,19,2025-12-13,191.74,Smartphone
